 ,IDENTIFIER,Average_Distance_of_1_neighbors,
1,0,0.00,
2,1,57.44,
3,2,31.93,
4,3,29.12,
5,4,31.05,
6,5,59.75,
7,6,42.95,
8,7,29.12,
9,8,57.44,
10,9,32.05,
11,10,47.09,
12,11,33.91,
13,12,24.87,
14,13,33.91,
15,14,33.89,
16,15,41.57,
17,16,33.35,
18,17,24.87,
19,18,29.86,
20,19,24.28,
21,20,42.47,
22,21,47.61,
23,22,23.70,
24,23,21.51,
25,24,26.93,
26,25,27.06,
27,26,21.51,
28,27,24.72,
29,28,29.35,
30,29,24.72,
31,30,52.05,
32,31,37.98,
33,32,34.47,
34,33,26.95,
35,34,37.98,
36,35,40.70,
37,36,26.95,
38,37,36.72,
39,38,28.00,
40,39,28.61,
41,40,37.83,
42,41,36.36,
43,42,33.00,
44,43,28.61,
45,44,36.72,
46,45,37.83,
47,46,22.17,
48,47,32.84,
49,48,33.94,
50,49,38.62,
51,50,22.17,
52,51,36.36,
53,52,21.61,
54,53,32.40,
55,54,32.51,
56,55,30.17,
57,56,39.35,
58,57,21.61,
59,58,28.36,
60,59,38.00,
61,60,34.30,
62,61,39.35,
63,62,42.15,
64,63,30.16,
65,64,25.41,
66,65,47.98,
67,66,29.72,
68,67,39.35,
69,68,36.64,
70,69,36.64,
71,70,41.23,
72,71,25.41,
73,72,29.72,
